name,tipo,lat,lon
Via Canaletto (entrata Via Bramante da Urbino/Via Andrea Mantegna),Parco Giochi,45.620604,9.2261532
Parco Villa Tittoni,Parco Giochi,45.6149408,9.2149091
Parco comunale Spaccone (Via Romagna),Parco Giochi,45.6061461,9.19588659999999
Via Risorgimento,Parco Giochi,45.620809,9.18070599999999
Via Don Mauro Bonzi (raggiungibile anche da Via G. Bosio),Parco Giochi,45.6246099,9.2280935
Via Trincea delle Frasche,Parco Giochi,45.633153,9.19590300000004
Viale Sabotino (raggiungibile anche da Via Ignazio Silone),Parco Giochi,45.6091814,9.1999399
Via Matilde Serao,Parco Giochi,45.614801,9.196866
Via Parini/Kuliscioff,Parco Giochi,45.610603,9.19657200000006
Viale Rimembranze (Area Cimitero) - raggiungibile anche da Via Guido Galli,Parco Inclusivo ,45.62166,9.20562199999995
Via Fratelli Cervi angolo Via Vico,Parco Inclusivo ,45.618176,9.20407599999999
Via Monsignor Luigi Castelli,Parco Giochi,45.622519,9.19404600000007
Via XVI Marzo (entrata diretta da Via Treviso),Parco Inclusivo ,45.607988,9.19890099999998
Via Alessandro Volta,Parco Inclusivo ,45.622122,9.21254799999997
Via Monte Generoso,Parco Giochi,45.621976,9.18949399999997
